name,notes,support phone,support email,warranty lookup url,url
Mybuzz,et tempus semper est quam pharetra magna ac consequat metus sapien,347-266-3178,,,http://snipeitapp.com
Jabbersphere,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,197-981-5379,,,
Topicblab,aliquam convallis nunc proin at turpis a pede posuere nonummy integer,958-422-9615,,,
Trupe,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,387-755-4972,,,https://microsoft.com
Yotz,in tempus sit amet sem fusce consequat nulla nisl nunc nisl,656-536-9835,foo@example.org,,
Fatz,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,985-361-5597,,,
Mycat,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,954-596-9805,,,
Livefish,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,102-873-3656,,,
Roomm,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,247-353-7043,,,
Yodel,turpis a pede posuere nonummy integer non velit donec diam neque,499-847-6224,,,